,Intensity,programmed_bump,Bump_BPM54
2018-10-15 11:37:31.900,79.85419725,-2.0,-5.3185
2018-10-15 11:38:07.900,82.800010975,-2.0,-5.30325
2018-10-15 11:38:43.900,84.835659075,-2.0,-5.329
2018-10-15 11:39:19.900,85.277906325,-2.0,-5.31875
2018-10-15 11:39:55.900,86.009997675,-2.0,-5.309
2018-10-15 11:40:31.900,83.678205475,-2.0,-5.30325
2018-10-15 11:41:07.900,86.03310675,-2.0,-5.2915
2018-10-15 11:41:43.900,81.14962075,-2.0,-5.2825
2018-10-15 11:42:19.900,85.32729565,-2.0,-5.28675
2018-10-15 11:42:55.900,79.621805175,-2.0,-5.251
2018-10-15 11:43:31.900,83.03198235,-2.0,-5.291
2018-10-15 11:44:07.900,86.8893376,-2.0,-5.26175
2018-10-15 11:44:43.900,90.25299205,-2.0,-5.2985
2018-10-15 11:45:19.900,79.89762795,-2.0,-5.27225
2018-10-15 11:45:55.900,86.3778754,-2.0,-5.29525
2018-10-15 11:48:19.900,84.509417375,-1.0,-4.33075
2018-10-15 11:48:55.900,85.241428225,-1.0,-4.35975
2018-10-15 11:49:31.900,86.573446,-1.0,-4.36975
2018-10-15 11:50:07.900,83.19122675,-1.0,-4.32375
2018-10-15 11:50:43.900,85.362858,-1.0,-4.34875
2018-10-15 11:51:19.900,85.246813575,-1.0,-4.37925
2018-10-15 11:51:55.900,87.15526625,-1.0,-4.39975
2018-10-15 11:52:31.900,80.96279765,-1.0,-4.387
2018-10-15 11:53:07.900,85.941242325,-1.0,-4.374
2018-10-15 11:53:43.900,83.33645315,-1.0,-4.3845
2018-10-15 11:54:19.900,85.81030195,-1.0,-4.39675
2018-10-15 11:54:55.900,87.660655,-1.0,-4.3585
2018-10-15 11:55:31.900,82.89027165,-1.0,-4.3745
2018-10-15 11:56:07.900,82.864756175,-1.0,-4.3205
2018-10-15 11:56:43.900,85.810493325,-1.0,-4.34825
2018-10-15 11:37:31.900,79.85419725,0.0,-5.3185
2018-10-15 11:38:07.900,82.800010975,0.0,-5.30325
2018-10-15 11:38:43.900,84.835659075,0.0,-5.329
2018-10-15 11:39:19.900,85.277906325,0.0,-5.31875
2018-10-15 11:39:55.900,86.009997675,0.0,-5.309
2018-10-15 11:40:31.900,83.678205475,0.0,-5.30325
2018-10-15 11:41:07.900,86.03310675,0.0,-5.2915
2018-10-15 11:41:43.900,81.14962075,0.0,-5.2825
2018-10-15 11:42:19.900,85.32729565,0.0,-5.28675
2018-10-15 11:42:55.900,79.621805175,0.0,-5.251
2018-10-15 11:43:31.900,83.03198235,0.0,-5.291
2018-10-15 11:44:07.900,86.8893376,0.0,-5.26175
2018-10-15 11:44:43.900,90.25299205,0.0,-5.2985
2018-10-15 11:45:19.900,79.89762795,0.0,-5.27225
2018-10-15 11:45:55.900,86.3778754,0.0,-5.29525
2018-10-15 12:15:55.900,86.746556,1.0,-2.902
2018-10-15 12:16:31.900,87.3752827,1.0,-2.8495
2018-10-15 12:17:07.900,82.27365275,1.0,-2.87875
2018-10-15 12:17:43.900,88.380292575,1.0,-2.88375
2018-10-15 12:18:19.900,82.323691525,1.0,-2.87975
2018-10-15 12:18:55.900,87.3926242,1.0,-2.8965
2018-10-15 12:19:31.900,82.692027975,1.0,-2.89225
2018-10-15 12:20:07.900,84.72095265,1.0,-2.94275
2018-10-15 12:20:43.900,77.609954,1.0,-2.4855
2018-10-15 12:21:19.900,84.5725949,1.0,-2.488
2018-10-15 12:21:55.900,85.5396357,1.0,-2.45375
2018-10-15 12:22:31.900,84.0960453,1.0,-2.4605
2018-10-15 12:23:07.900,81.104356625,1.0,-2.50125
2018-10-15 12:23:43.900,81.381669,1.0,-2.49275
2018-10-15 12:24:19.900,87.789876025,1.0,-2.474
2018-10-15 12:27:19.900,82.091986025,2.0,-1.544
2018-10-15 12:27:55.900,80.55141375,2.0,-1.5345
2018-10-15 12:28:31.900,85.74742955,2.0,-1.5215
